[Consolidado]
Entrada em Atraso	797	2,2	6,3	9,9	13,2	-6,5
Carteira 15 a 90	1.440	4,0	12,0	0,9	19,9	0,2
Regul 15 a 90		20,5	1,0	14,4		
Promessas 15 a 90	348	19,5	11,5	20,0		
Carteira 31 a 60	526	1,5	10,0	-12,3	12,9	-0,2
Regul 31 a 60		12,8	-5,3	65,5		
Promessas 31 a 60						
Carteira Over90	2.115	5,8	29,4	1,5	11,4	0,2
Regul Over90		1,7	-1,1	12,4		
Promessas Over90	84,0	3,8	3,7	7,7		

[Pros]
Entrada em Atraso	687	2,1	3,5	10,5	10,1	-7,7
Carteira 15 a 90	1.253	3,9	10,0	0,9	16,4	0,1
Regul 15 a 90		20,5	3,7	14,0		
Promessas 15 a 90	307	19,7	15,4	19,9		
Carteira 31 a 60	455	1,4	7,1	-13,3	8,3	-0,7
Regul 31 a 60		12,8	-2,7	68,2		
Promessas 31 a 60						
Carteira Over90	1.914	5,9	35,3	0,8	11,4	0,1
Regul Over90		1,7	0,0	12,9		
Promessas Over90	74,0	3,7	12,1	8,8		

[Emps+]
Entrada em Atraso	110	2,8	27,9	6,8	37,5	1,9
Carteira 15 a 90	187	4,7	27,2	1,1	49,6	1,1
Regul 15 a 90		20,2	-14,0	17,4		
Promessas 15 a 90	41,0	18,1	-10,9	20,6		
Carteira 31 a 60	71,0	1,8	34,0	-5,3	54,3	2,9
Regul 31 a 60		12,9	-18,9	50,0		
Promessas 31 a 60						
Carteira Over90	201	5,0	-8,6	9,2	11,0	2,0
Regul Over90		2,4	-7,7	9,1		
Promessas Over90	10,0	4,9	-33,3	0,0		

